abacus,apple,axe,babycrib,backpack,bagel,ball,balloon,barbie,basecards,basket,bathsuit,beanbagchair,bearteddy,bed,beermug,bell,bench,bike,bill,binoculars,bird,birdhouse,bongo,bonsai,boot,bottle,bowl,bowlingpin,bowtie,box,bread,broom,bucket,butter,button,cake,calculator,camcorder,camera,candleholderwithcandle,car,carabiner,carriage,cat,ceilingfan,cellphone,chair,cheese,cheesegrater,cherubstatue,chessboard,chocolate,christmasornament,christmasstocking,cigarette,circuitboard,clock,coatrack,coffee,coffeemug,coin,collar,compass,computerkey,cookie,cookingpan,cookpot,cooler,crib,cupsaucer,cushion,decorativescreen,desk,dog,doll,dollhouse,domino,donut,doorknob,doorknocker,dresser,dumbbell,earings,easteregg,exerciseequipment,fan,feather,fishhook,flag,flashlight,frame,frisbee,game,gamehandheld,garbagecan,gift,glasses,glove,goggle,golfball,grill,guitar,hairbrush,hairdryer,hammer,handbag,handgun,hanger,hat,headband,headphone,helmet,highchair,highlight,horseshoe,hourglass,iceskates,jacket,jack-o-lantern,juice,kayak,key,keyboard,keychain,knife,lamp,lantern,laptop,lawnmower,leaves,leatherman,lei,licenseplate,lipstick,lock,magazinecovers,mailbox,makeupcompact,mask,mathcompass,mattress,meat,mic,microscope,microwave,motorcycle,mp3player,muffin,mushroom,nailpolish,necklace,necktie,nunchaku,orifan,pants,parfait,pasta,patioloungechair,pen,phone,pipe,pitcher,pizza,plane,plant,pokercard,powerstrip,printer,radio,razor,recordplayer,remote,ring,ringbinder,roadsign,robot,rock,rollerskates,rosary,router,rug,rusdoll,saddle,saltpeppershake,sandwich,scale,scissors,scooter,scrunchie,seashell,shoe,showercurtain,shredder,sink,sippycup,skateboard,sleepingbag,snowglobe,socks,sodacan,sofa,soldier,speaker,spoon,stamp,stapler,stool,suit,suitcase,tablesmall,tape,telescope,tennisracquet,tent,toiletseat,tongs,toothpaste,toyhorse,toyrabbit,train,tree,tricycle,trophy,trumpet,trunk,turtle,tv,typewriter,umbrella,vacuum,vase,videogamecontroller,walllamp,watch,watergun,wig,windchime,wineglass,yarn
16,34,17,21,31,15,17,21,32,17,32,22,32,14,14,15,14,14,34,17,18,16,19,31,14,13,14,14,11,15,15,14,14,18,15,19,15,16,29,19,19,20,14,34,17,20,22,23,15,19,20,15,13,16,15,16,16,14,19,19,16,17,13,20,14,16,18,32,17,15,14,17,22,13,15,16,14,11,13,20,19,15,30,14,13,19,33,15,14,20,16,32,18,15,15,31,19,14,17,22,32,20,13,32,15,33,15,19,16,15,15,17,14,15,15,12,19,19,31,24,14,32,13,16,15,22,14,31,32,21,17,15,14,15,32,22,17,22,32,14,14,12,31,22,16,30,35,12,13,15,15,12,21,20,19,32,14,33,13,13,33,17,14,14,13,15,16,20,13,29,22,10,33,15,20,32,15,13,19,12,13,29,32,31,11,12,11,16,19,12,13,12,19,14,13,21,22,19,13,15,12,14,14,20,13,13,14,13,16,20,10,14,34,13,15,14,11,16,14,19,22,19,13,12,32,13,31,30,11,12,19,13,19,13,14,19,14,33,12,12
16,34,17,21,31,15,17,21,32,17,32,22,32,14,14,15,14,14,34,17,18,16,19,31,14,14,14,14,12,15,15,14,14,18,15,19,15,16,29,19,19,20,14,34,17,20,22,23,15,19,20,15,14,16,15,16,16,14,19,19,16,17,13,20,14,16,18,32,17,15,14,17,22,14,15,16,14,12,14,20,19,15,30,14,14,19,33,15,14,20,16,32,18,15,15,31,19,14,17,22,32,20,14,32,15,33,15,19,16,15,15,17,14,15,15,13,19,19,31,24,14,32,14,16,15,22,14,31,32,21,17,15,14,15,32,22,17,22,32,14,14,13,31,22,16,30,35,13,14,15,15,13,21,20,19,32,14,33,14,14,33,17,14,14,13,15,16,20,14,29,22,11,33,15,20,32,15,13,19,13,14,29,32,31,12,13,12,16,19,13,13,13,19,14,14,21,22,19,14,15,13,14,14,20,14,14,14,13,16,20,11,14,34,13,15,14,12,16,14,19,22,19,14,13,32,14,31,30,12,13,19,13,19,14,14,19,14,33,13,13
16,34,17,21,31,15,17,21,32,17,32,22,32,14,14,15,14,14,34,17,18,16,19,31,14,15,14,14,13,15,15,15,14,18,15,19,15,16,29,19,19,20,14,34,17,20,22,23,15,19,20,15,14,16,15,16,16,15,19,19,16,17,14,20,14,16,18,32,17,15,15,17,22,15,15,16,15,13,14,20,19,15,30,14,14,19,33,15,14,20,16,32,18,15,15,31,19,14,17,22,32,20,14,32,15,33,15,19,16,15,15,17,15,15,15,14,19,19,31,24,14,32,14,16,15,22,14,31,32,21,17,15,14,15,32,22,17,22,32,14,14,14,31,22,16,30,35,14,14,15,15,14,21,20,19,32,15,33,14,15,33,17,14,14,14,15,16,20,15,29,22,12,33,15,20,32,15,14,19,14,14,29,32,31,13,14,13,16,19,14,14,14,19,14,14,21,22,19,15,15,14,14,14,20,14,14,14,14,16,20,12,14,34,14,15,14,13,16,14,19,22,19,14,14,32,14,31,30,13,14,19,14,19,14,15,19,14,33,14,14
16,34,17,21,31,15,17,21,32,17,32,22,32,14,15,15,14,14,34,17,18,16,19,31,15,15,15,15,14,15,15,15,15,18,15,19,15,16,29,19,19,20,15,34,17,20,22,23,15,19,20,15,15,16,15,16,16,15,19,19,16,17,15,20,15,16,18,32,17,15,15,17,22,15,15,16,15,14,14,20,19,15,30,14,14,19,33,15,15,20,16,32,18,15,15,31,19,15,17,22,32,20,15,32,15,33,15,19,16,15,15,17,15,15,15,14,19,19,31,24,15,32,14,16,15,22,14,31,32,21,17,15,15,15,32,22,17,22,32,15,15,14,31,22,16,30,35,14,14,15,15,14,21,20,19,32,15,33,14,15,33,17,14,15,15,15,16,20,15,29,22,13,33,15,20,32,15,15,19,14,15,29,32,31,14,14,14,16,19,14,15,15,19,15,14,21,22,19,15,15,15,15,14,20,14,14,14,14,16,20,13,15,34,15,15,14,14,16,15,19,22,19,14,15,32,15,31,30,14,15,19,14,19,14,15,19,14,33,15,14
16,34,17,21,31,15,17,21,32,17,32,22,32,15,15,15,15,15,34,17,18,16,19,31,15,15,15,15,15,15,15,15,15,18,15,19,15,16,29,19,19,20,15,34,17,20,22,23,15,19,20,15,15,16,15,16,16,15,19,19,16,17,15,20,15,16,18,32,17,15,15,17,22,15,15,16,16,15,15,20,19,15,30,15,15,19,33,15,16,20,16,32,18,15,15,31,19,15,17,22,32,20,15,32,15,33,15,19,16,15,15,17,15,15,15,15,19,19,31,24,15,32,15,16,15,22,15,31,32,21,17,15,15,15,32,22,17,22,32,15,15,15,31,22,16,30,35,15,15,15,15,15,21,20,19,32,15,33,15,15,33,17,15,15,15,15,16,20,15,29,22,14,33,15,20,32,15,15,19,15,15,29,32,31,15,15,15,16,19,15,15,15,19,15,15,21,22,19,15,15,15,15,15,20,15,15,15,15,16,20,14,15,34,15,15,15,15,16,15,19,22,19,15,15,32,15,31,30,15,15,19,15,19,15,15,19,15,33,15,15
16,34,17,21,31,15,17,21,32,17,32,22,32,15,15,15,15,15,34,17,18,16,19,31,15,15,16,16,16,15,16,15,16,18,15,19,16,16,29,19,19,20,15,34,17,20,22,23,15,19,20,15,16,16,15,16,16,16,19,19,16,17,15,20,15,16,18,32,17,15,15,17,22,15,16,16,16,16,16,20,19,16,30,15,15,19,33,15,16,20,16,32,18,15,15,31,19,15,17,22,32,20,15,32,16,33,15,19,16,15,15,17,15,16,16,15,19,19,31,24,15,32,15,16,16,22,15,31,32,21,17,16,15,16,32,22,17,22,32,15,15,16,31,22,16,30,35,15,15,15,16,16,21,20,19,32,16,33,16,15,33,17,16,15,15,15,16,20,15,29,22,15,33,16,20,32,16,15,19,16,15,29,32,31,15,16,16,16,19,15,15,15,19,15,15,21,22,19,16,16,15,15,16,20,15,16,15,16,16,20,15,15,34,15,15,16,16,16,15,19,22,19,15,15,32,15,31,30,15,15,19,15,19,16,16,19,15,33,15,15
16,34,17,21,31,16,17,21,32,17,32,22,32,15,15,16,15,16,34,17,18,16,19,31,16,16,16,16,16,15,16,15,16,18,15,19,16,16,29,19,19,20,15,34,17,20,22,23,15,19,20,16,16,16,15,16,16,16,19,19,16,17,16,20,15,16,18,32,17,16,16,17,22,16,16,16,16,16,16,20,19,16,30,15,15,19,33,16,16,20,16,32,18,16,15,31,19,15,17,22,32,20,15,32,16,33,15,19,16,16,16,17,16,16,16,16,19,19,31,24,16,32,15,16,16,22,15,31,32,21,17,16,16,16,32,22,17,22,32,16,16,16,31,22,16,30,35,16,16,15,16,16,21,20,19,32,16,33,16,16,33,17,16,15,16,16,16,20,15,29,22,15,33,16,20,32,16,15,19,16,15,29,32,31,16,16,16,16,19,16,15,15,19,15,16,21,22,19,16,16,16,16,16,20,16,16,15,16,16,20,16,16,34,15,16,16,16,16,16,19,22,19,15,15,32,16,31,30,16,15,19,16,19,16,16,19,16,33,15,16
16,34,17,21,31,16,17,21,32,17,32,22,32,16,16,16,16,16,34,17,18,16,19,31,16,16,16,16,16,16,16,16,16,18,16,19,16,16,29,19,19,20,16,34,17,20,22,23,16,19,20,17,16,16,16,16,16,16,19,19,16,17,16,20,16,16,18,32,17,16,16,17,22,16,16,16,16,16,16,20,19,16,30,16,16,19,33,16,16,20,16,32,18,16,16,31,19,16,17,22,32,20,16,32,16,33,16,19,17,16,16,17,16,17,16,16,19,19,31,24,16,32,16,16,16,22,16,31,32,21,17,16,16,16,32,22,17,22,32,16,16,16,31,22,16,30,35,16,16,16,16,16,21,20,19,32,16,33,16,16,33,17,16,16,16,16,16,20,16,29,22,16,33,16,20,32,16,16,19,16,16,29,32,31,16,16,16,16,19,16,16,16,19,16,16,21,22,19,16,16,16,17,16,20,17,16,16,16,16,20,17,17,34,16,16,16,16,16,16,19,22,19,16,16,32,16,31,30,16,16,19,16,19,16,16,19,16,33,16,16
17,34,17,21,31,17,17,21,32,17,32,22,32,16,16,16,16,16,34,17,18,16,19,31,16,16,16,17,17,16,17,16,16,18,16,19,17,17,29,19,19,20,17,34,17,20,22,23,16,19,20,17,17,17,17,17,16,16,19,19,17,17,17,20,16,16,18,32,17,16,16,17,22,16,16,17,16,16,16,20,19,16,30,16,17,19,33,16,16,20,16,32,18,17,17,31,19,16,17,22,32,20,17,32,16,33,17,19,17,17,16,17,16,17,16,16,19,19,31,24,16,32,16,17,16,22,16,31,32,21,17,17,16,16,32,22,17,22,32,16,16,17,31,22,17,30,35,16,16,17,16,17,21,20,19,32,17,33,16,16,33,17,16,16,17,16,17,20,16,29,22,16,33,17,20,32,16,16,19,16,16,29,32,31,16,17,16,17,19,16,16,16,19,16,17,21,22,19,16,16,17,17,16,20,17,16,16,16,16,20,17,17,34,16,17,17,16,16,17,19,22,19,17,16,32,16,31,30,16,16,19,16,19,17,16,19,16,33,16,16
17,34,17,21,31,17,17,21,32,17,32,22,32,17,17,17,17,16,34,17,18,16,19,31,17,17,17,17,17,17,17,17,16,18,16,19,17,17,29,19,19,20,17,34,17,20,22,23,16,19,20,17,17,17,17,17,16,17,19,19,17,17,17,20,17,16,18,32,17,17,17,17,22,16,16,17,16,16,16,20,19,16,30,17,17,19,33,17,17,20,16,32,18,17,17,31,19,16,17,22,32,20,17,32,16,33,17,19,17,17,17,17,16,17,17,17,19,19,31,24,16,32,17,17,17,22,16,31,32,21,17,17,17,16,32,22,17,22,32,16,16,17,31,22,17,30,35,17,17,17,16,17,21,20,19,32,17,33,17,16,33,17,16,16,17,17,17,20,17,29,22,17,33,17,20,32,16,17,19,17,17,29,32,31,17,17,16,17,19,16,17,17,19,16,17,21,22,19,17,17,17,17,16,20,17,16,16,16,17,20,17,17,34,17,17,17,16,17,17,19,22,19,17,16,32,17,31,30,16,16,19,16,19,17,16,19,16,33,16,16
