directory,"name"
backpack,"backpack"
ball,"ball"
bathsuit,"swimsuit"
bell,"bell"
binoculars,"binoculars"
birdhouse,"birdhouse"
broom,"broom"
button,"button"
calculator,"calculator"
camcorder,"camcorder"
camera,"camera"
candleholderwithcandle,"candle"
car,"car"
chair,"chair"
cheese,"cheese"
chessboard,"chessboard"
coffeemaker,"coffeemaker"
compass,"compass"
cupsaucer,"teacup"
desk,"desk"
dollhouse,"dollhouse"
dumbbell,"dumbbell"
exerciseequipment,"exercise equipment"
frame,"frame"
gamehandheld,"gameboy / handheld game"
garbagecan,"trashcan"
glove,"glove"
goggles,"goggles"
guitar,"guitar"
handbag,"purse"
key,"key"
lamp,"lamp"
laptop,"laptop"
mp3player,"mp3 player"
parfait,"parfait"
patioloungechair,"lounge chair"
pitcher,"pitcher"
powerstrip,"power strip"
saltpeppershake,"salt and pepper shaker"
scissors,"scissors"
sippycup,"sippy cup"
speaker,"speaker"
spoon,"spoon"
stapler,"stapler"
tree,"tree"
trophy,"trophy"
tv,"television"
umbrella,"umbrella"
videogamecontroller,"controller"
walllamp,"wall lamp"
wineglass,"wine glass"
